Sector,Company,Model,MAE,RMSE,MAPE,NRMSE,R2
Communication Services,BHARTIARTL.NS,LSTM,18.08199297938626,24.601007970964847,2.2713463277679558,1.7817402719072124,0.993963302457046
Communication Services,BHARTIARTL.NS,GRU,11.881904258502605,17.18577888114101,1.3761433356282682,1.2446886067742078,0.9970540046779965
Communication Services,BHARTIARTL.NS,SimpleRNN,23.70390413318377,27.148917783563057,3.149000913262836,1.9662739108398837,0.9926481157946956
Communication Services,BHARTIARTL.NS,CNN1D,16.20967662904244,22.975607479342067,1.9834304588243625,1.6640198306423617,0.9947346454591927
Communication Services,RELIANCE.NS,LSTM,19.34286442727258,25.312061278983293,1.9393586675678314,2.1150807157333174,0.9920349635827863
Communication Services,RELIANCE.NS,GRU,17.702985103501607,22.65648004481697,1.7478649804919755,1.8931798363248078,0.9936185757963223
Communication Services,RELIANCE.NS,SimpleRNN,46.85794807510406,56.05332328878758,4.253267824541345,4.6838264902320885,0.9609397092546358
Communication Services,RELIANCE.NS,CNN1D,28.632703891905784,36.60586933451067,2.779327435466455,3.0587934921113233,0.9833415653421449
Communication Services,IDEA.NS,LSTM,0.45148765835496474,0.6647646150757827,4.201574680759175,5.2056741670296125,0.9515769740196419
Communication Services,IDEA.NS,GRU,0.31820472102792563,0.4794410180502723,3.027460134838069,3.754432269223836,0.9748124160751378
Communication Services,IDEA.NS,SimpleRNN,0.41105132978292835,0.5445213238524651,4.213773674841429,4.264066595440555,0.9675102836157327
Communication Services,IDEA.NS,CNN1D,0.803745230886257,0.932245273361705,8.435868705687275,7.300275957560186,0.9047694007933103
Communication Services,TATACOMM.NS,LSTM,41.73278517381193,52.417359666344865,2.9746601581936987,3.0892800746335563,0.9794386757163477
Communication Services,TATACOMM.NS,GRU,29.73609316269426,38.77519122956931,2.131218423618715,2.2852624859035986,0.9887485447567818
Communication Services,TATACOMM.NS,SimpleRNN,63.55711202199606,84.33332946460013,4.123667736964219,4.970286103704147,0.9467770070142292
Communication Services,TATACOMM.NS,CNN1D,56.86370998248663,68.2554428570768,4.214244461142279,4.022716537915238,0.965136147307111
Consumer Cyclical,TATAMOTORS.NS,LSTM,17.785463713027323,25.400538113156568,4.284890067283726,2.3164049737580696,0.9906615023941074
Consumer Cyclical,TATAMOTORS.NS,GRU,8.837746832851492,12.872178375096265,2.4084680216338032,1.1738797768118867,0.9976017454568229
Consumer Cyclical,TATAMOTORS.NS,SimpleRNN,10.018493615103996,14.954850025367884,2.664171923609089,1.36380925578207,0.9967629060705493
Consumer Cyclical,TATAMOTORS.NS,CNN1D,12.98269822308966,19.688178263908398,3.4548385626920015,1.7954656650022216,0.9943894912613628
Consumer Cyclical,M&M.NS,LSTM,31.005144478757714,50.85178435068256,2.7741752950219722,1.7383442210677158,0.9941222354355574
Consumer Cyclical,M&M.NS,GRU,17.15316419260374,26.8493846358132,1.6084181526573524,0.917833527709116,0.998361416919643
Consumer Cyclical,M&M.NS,SimpleRNN,27.38298468240112,43.58727586872582,2.4088749568439582,1.4900104310197486,0.9956816359924312
Consumer Cyclical,M&M.NS,CNN1D,50.5524640689999,88.18376114284636,3.7478882648113325,3.0145202087215486,0.9823242834217362
Consumer Cyclical,MARUTI.NS,LSTM,217.30925707527203,290.75559176723027,2.339626109310202,4.039450609177905,0.9757475597707802
Consumer Cyclical,MARUTI.NS,GRU,135.0460300733503,177.90090787513475,1.4911817147989506,2.4715670172383866,0.9909206319755173
Consumer Cyclical,MARUTI.NS,SimpleRNN,161.79095930067407,199.8711726257674,1.882669148066457,2.77679863390766,0.9885396043201227
Consumer Cyclical,MARUTI.NS,CNN1D,262.3939985930996,326.45295527919194,2.9056646188961524,4.535392014493606,0.9694268279441249
Consumer Cyclical,EICHERMOT.NS,LSTM,79.1356854955519,97.52792777238442,3.0640856529914293,2.570180095164752,0.9885031229151754
Consumer Cyclical,EICHERMOT.NS,GRU,46.21720578784938,63.06484837698166,1.6222349596716996,1.661965159163338,0.9951927511208251
Consumer Cyclical,EICHERMOT.NS,SimpleRNN,74.0275064193571,107.76678092649193,2.3417826125463423,2.840007386434786,0.9859624370858073
Consumer Cyclical,EICHERMOT.NS,CNN1D,75.53257609512487,97.98955410693621,2.791813527652709,2.582345459933272,0.9883940296183558
Energy,RELIANCE.NS,LSTM,25.26275507243924,32.107850492175324,2.4558221564713434,2.6829381712991918,0.9871839201838486
Energy,RELIANCE.NS,GRU,20.62992247286302,25.216694049760225,2.10202311935717,2.1071118116911123,0.9920948696079664
Energy,RELIANCE.NS,SimpleRNN,23.201393635139265,32.48540393024791,2.1996565824407877,2.7144866093036932,0.9868807417291446
Energy,RELIANCE.NS,CNN1D,39.354796296382474,49.15717578047006,3.665493389379134,4.107583076195891,0.9699595394663489
Energy,ONGC.NS,LSTM,3.4258335028952756,4.974021302109746,2.2310634789245047,1.7654024142359348,0.9934938128022702
Energy,ONGC.NS,GRU,2.872455896931592,4.072815690482148,2.0249710619904064,1.4455423923627855,0.995637848073135
Energy,ONGC.NS,SimpleRNN,3.077693231123485,4.515970857982135,1.9711826000605732,1.6028290534098086,0.9946369291488688
Energy,ONGC.NS,CNN1D,3.8084442230224043,5.427894815818693,2.6026709207573844,1.9264932797936798,0.9922522763935123
Energy,IOC.NS,LSTM,2.5404755898706566,3.3698048462201546,2.9024827794192074,2.328821704199947,0.9904496160778279
Energy,IOC.NS,GRU,1.9390509534488047,2.660635164992898,2.121969410795938,1.8387251493638168,0.9940463680559725
